County,Cases[a],Deaths,Recov.[b],Cases/10K,Ref.
Los Angeles,"16,435",729,–,16.17,[1]
Riverside,"3,084",99,789,12.73,[2]
San Diego,"2,491",96,–,7.46,[3]
Santa Clara,"1,962",94,–,10.12,[4]
Orange,"1,753",34,–,5.49,[5]
San Bernardino,"1,578",72,–,7.31,[6]
Alameda[c],"1,280",45,–,7.70,[7][8]
San Francisco,"1,233",21,–,13.94,[9]
Sacramento,971,36,–,6.34,[10]
San Mateo,958,39,–,12.42,[11]
Contra Costa,763,22,–,6.65,[12]
Kern,683,4,293,7.65,[13]
San Joaquin,472,20,–,6.33,[14]
Ventura,451,14,243,5.28,[15]
Tulare,441,25,66,9.49,[16]
Santa Barbara,440,5,194,9.82,[17]
Fresno,384,7,132,3.88,[18]
Stanislaus,251,5,157,4.58,[19]
Imperial,214,6,61,11.70,[20]
Marin,203,11,143,7.78,[21]
Sonoma,192,2,87,3.81,[22]
Solano,186,3,–,4.18,[23]
Monterey,154,4,32,3.52,[24]
Yolo,151,12,–,6.89,[25]
San Luis Obispo,142,1,118,5.01,[26]
Placer,133,8,–,3.44,[27]
Santa Cruz,111,2,60,4.02,[28]
Merced,94,3,56,3.45,[29]
Napa,57,2,22,4.04,[30]
Humboldt,52,0,50,3.80,[31]
San Benito,46,2,41,7.63,[32]
El Dorado,39,0,34,2.06,[33]
Nevada,36,1,–,3.61,[34]
Madera,36,2,25,2.29,[35]
Kings,32,1,5,2.13,[36]
Shasta,27,3,19,1.50,[37]
Sutter,26,2,19,2.69,[38]
Mono,24,1,–,16.94,[39]
Inyo,19,0,13,10.54,[40]
Butte,16,0,–,0.7,[41]
Yuba,16,1,13,2.08,[38]
Calaveras,12,0,7,2.63,[42]
Amador,8,0,5,2.07,[43]
Lake,6,0,5,0.93,[44]
Mendocino,5,0,4,0.57,[45]
Siskiyou,5,0,5,1.14,[46]
Glenn,4,0,3,1.42,[47]
Plumas,4,0,3,2.13,[48]
Colusa,3,0,–,1.38,[49]
Del Norte,2,0,2,0.73,[50]
Tuolumne,2,0,2,0.37,[51][52]
Alpine,1,0,1,8.93,[53]
Tehama,1,0,–,0.16,[54]
Lassen,0,0,0,0,[55]
Mariposa,0,0,0,0,[56]
Modoc,0,0,0,0,[57]
Sierra,0,0,0,0,[58]
Trinity,0,0,0,0,[59]
